Rank,Name,RSSDID,Location,TotalAsset
142,NBT BANCORP INC.                                                                                                        ,1139279,"NORWICH, NY",11890497.0
143,DOLLAR MUTUAL BANCORP                                                                                                   ,5218097,"PITTSBURGH, PA",11617887.0
144,FIRST COMMONWEALTH FINANCIAL CORPORATION                                                                                ,1071306,"INDIANA, PA",11318604.0
145,"BROOKLINE BANCORP, INC.                                                                                                 ",2631510,"BOSTON, MA",11237412.0
146,"EAGLE BANCORP, INC.                                                                                                     ",2652104,"BETHESDA, MD",11035450.0
147,"LAKELAND BANCORP, INC.                                                                                                  ",1404799,"OAK RIDGE, NJ",10899315.0
148,"LIVE OAK BANCSHARES, INC.                                                                                               ",3884863,"WILMINGTON, NC",10819196.0
149,STELLAR BANCORP INC.                                                                                                    ,3594872,"HOUSTON, TX",10778351.0
150,W.T.B. FINANCIAL CORPORATION                                                                                            ,1029464,"SPOKANE, WA",10646978.0
151,"CAPITOL FEDERAL FINANCIAL, INC.                                                                                         ",4226910,"TOPEKA, KS",10307736.0
152,"ORIGIN BANCORP, INC.                                                                                                    ",1885307,"RUSTON, LA",10165163.0
153,COLUMBIA BANK MHC                                                                                                       ,2571120,"FAIR LAWN, NJ",10061611.0
154,OFG BANCORP                                                                                                             ,2490575,"SAN JUAN, PUERTO RICO                             ",10031547.0
