PERMNO,date,RET,vwretd
47896,1992-07-20,0.027875,-0.004796
47896,1992-07-21,-0.023729,0.001226
47896,1992-07-22,-0.031250,-0.006405
47896,1992-07-23,-0.025090,0.002420
47896,1992-07-24,0.003676,-0.000374
47896,1992-07-27,0.003663,0.000460
47896,1992-07-28,0.014599,0.012868
47896,1992-07-29,-0.007194,0.010273
47896,1992-07-30,0.003623,0.003703
47896,1992-07-31,0.007220,0.001840
47896,1992-08-03,-0.007168,0.002296
47896,1992-08-04,-0.007220,-0.000991
47896,1992-08-05,-0.025455,-0.004968
47896,1992-08-06,0.003731,-0.003484
47896,1992-08-07,-0.007435,-0.002138
47896,1992-08-10,-0.022472,0.000168
47896,1992-08-11,0.030651,-0.001202
47896,1992-08-12,0.000000,-0.003152
47896,1992-08-13,0.003717,0.000398
47896,1992-08-14,0.025926,0.004852
47896,1992-08-17,-0.007220,0.001964
47896,1992-08-18,-0.007273,0.000837
47896,1992-08-19,-0.040293,-0.006133
47896,1992-08-20,0.026718,-0.000376
47896,1992-08-21,-0.011152,-0.007051
47896,1992-08-24,-0.033835,-0.010951
47896,1992-08-25,-0.019455,0.000546
47896,1992-08-26,0.015873,0.004814
47896,1992-08-27,0.023438,0.002197
47896,1992-08-28,0.003817,0.002434
47896,1992-08-31,-0.011407,-0.001002
47896,1992-09-01,0.023077,0.004349
47896,1992-09-02,0.011278,0.005338
47896,1992-09-03,-0.026022,0.001435
47896,1992-09-04,0.015267,-0.001881
47896,1992-09-08,-0.052632,-0.005564
47896,1992-09-09,-0.015873,0.003931
47896,1992-09-10,0.012097,0.008037
47896,1992-09-11,-0.019920,0.000205
47896,1992-09-14,0.048780,0.013743
47896,1992-09-15,-0.023256,-0.010773
47896,1992-09-16,-0.003968,-0.000823
47896,1992-09-17,-0.007968,0.000305
47896,1992-09-18,-0.004016,0.005143
47896,1992-09-21,-0.008065,-0.001371
47896,1992-09-22,-0.016260,-0.010043
47896,1992-09-23,0.016529,-0.000416
47896,1992-09-24,0.000000,0.003435
47896,1992-09-25,0.020325,-0.010147
47896,1992-09-28,0.019920,0.002974
47896,1992-09-29,0.003906,0.000966
47896,1992-09-30,0.024903,0.003642
47896,1992-10-01,0.003831,-0.004258
47896,1992-10-02,-0.022901,-0.012346
47896,1992-10-05,-0.007813,-0.007906
47896,1992-10-06,0.003937,0.001582
47896,1992-10-07,-0.007843,-0.005360
47896,1992-10-08,-0.015810,0.007877
47896,1992-10-09,-0.004016,-0.010083
47896,1992-10-12,0.024194,0.009071
47896,1992-10-13,-0.003937,0.004530
47896,1992-10-14,0.003953,0.000253
47896,1992-10-15,-0.015748,0.000912
47896,1992-10-16,0.004000,0.004334
47896,1992-10-19,0.067729,0.008913
47896,1992-10-20,0.000000,0.001843
47896,1992-10-21,0.003731,0.001445
47896,1992-10-22,0.007435,-0.001529
47896,1992-10-23,0.007380,-0.001110
47896,1992-10-26,0.036630,0.008032
47896,1992-10-27,-0.017668,0.000672
47896,1992-10-28,0.000000,0.004809
47896,1992-10-29,0.000000,0.002814
47896,1992-10-30,-0.010791,-0.003089
47896,1992-11-02,0.018182,0.007903
47896,1992-11-03,-0.007143,-0.004744
47896,1992-11-04,0.003597,-0.004687
47896,1992-11-05,0.007168,0.004478
47896,1992-11-06,0.003559,0.000003
47896,1992-11-09,0.010638,0.003186
47896,1992-11-10,0.007018,0.001500
47896,1992-11-11,0.010453,0.008490
47896,1992-11-12,0.006897,0.000909
47896,1992-11-13,0.003425,-0.000173
47896,1992-11-16,-0.003413,-0.003264
47896,1992-11-17,-0.013699,-0.003991
47896,1992-11-18,-0.003472,0.007952
47896,1992-11-19,-0.003484,0.002514
47896,1992-11-20,-0.003497,0.006691
47896,1992-11-23,0.021053,-0.002786
47896,1992-11-24,0.000000,0.005780
47896,1992-11-25,0.027491,0.003950
47896,1992-11-27,0.006689,0.002414
47896,1992-11-30,-0.003322,0.003566
47896,1992-12-01,-0.020000,-0.000414
47896,1992-12-02,0.000000,-0.001787
47896,1992-12-03,0.006803,0.000825
47896,1992-12-04,0.010135,0.005063
47896,1992-12-07,-0.010033,0.006344
47896,1992-12-08,0.006757,0.003187
47896,1992-12-09,-0.020134,-0.002866
47896,1992-12-10,-0.023973,-0.002946
47896,1992-12-11,0.014035,-0.001572
47896,1992-12-14,0.003460,-0.001608
47896,1992-12-15,0.010345,-0.001859
47896,1992-12-16,-0.006826,-0.003274
47896,1992-12-17,0.010309,0.008798
47896,1992-12-18,0.003401,0.010609
47896,1992-12-21,0.023729,-0.000687
47896,1992-12-22,0.023179,-0.000409
47896,1992-12-23,-0.003236,-0.001197
47896,1992-12-24,0.000000,0.002033
47896,1992-12-28,0.006494,-0.000755
47896,1992-12-29,0.000000,-0.000267
47896,1992-12-30,0.007742,0.002178
47896,1992-12-31,-0.003226,-0.001406
47896,1993-01-04,0.000000,-0.002615
47896,1993-01-05,-0.016181,-0.001476
47896,1993-01-06,0.009868,0.001454
47896,1993-01-07,-0.019544,-0.007372
47896,1993-01-08,0.006645,-0.003886
47896,1993-01-11,0.013201,0.004118
47896,1993-01-12,0.006515,0.000159
47896,1993-01-13,0.012945,0.004877
47896,1993-01-14,0.031949,0.007283
47896,1993-01-15,0.003096,0.003704
47896,1993-01-18,0.018519,0.000170
47896,1993-01-19,0.009091,-0.002324
47896,1993-01-20,-0.030030,-0.002283
47896,1993-01-21,-0.015480,0.004059
47896,1993-01-22,0.003145,0.002733
47896,1993-01-25,-0.009404,0.007559
47896,1993-01-26,0.018987,0.000706
47896,1993-01-27,0.037267,-0.005278
47896,1993-01-28,-0.029940,0.000013
47896,1993-01-29,0.003086,0.001104
47896,1993-02-01,0.009231,0.008210
47896,1993-02-02,0.003049,0.001565
47896,1993-02-03,0.012158,0.009288
47896,1993-02-04,0.012012,0.005630
47896,1993-02-05,0.017804,-0.002800
47896,1993-02-08,-0.002915,-0.001772
47896,1993-02-09,-0.008772,-0.006301
47896,1993-02-10,0.000000,0.002269
47896,1993-02-11,0.002950,0.002945
47896,1993-02-12,-0.014706,-0.005654
47896,1993-02-16,-0.032836,-0.025862
47896,1993-02-17,-0.009259,-0.003965
47896,1993-02-18,-0.009346,-0.001383
47896,1993-02-19,0.034591,0.004327
47896,1993-02-22,0.018237,-0.001215
47896,1993-02-23,-0.026866,-0.000278
47896,1993-02-24,0.027607,0.013808
47896,1993-02-25,-0.005970,0.004025
47896,1993-02-26,-0.027027,0.003159
47896,1993-03-01,0.012346,-0.001302
47896,1993-03-02,0.021341,0.011548
47896,1993-03-03,0.002985,0.004878
47896,1993-03-04,-0.023810,-0.003630
47896,1993-03-05,-0.003049,-0.001313
47896,1993-03-08,0.024465,0.015258
47896,1993-03-09,0.023881,0.000977
47896,1993-03-10,0.026239,0.004807
47896,1993-03-11,-0.014205,-0.003393
47896,1993-03-12,-0.014409,-0.007092
47896,1993-03-15,0.000000,0.003220
47896,1993-03-16,0.011696,-0.000366
47896,1993-03-17,-0.028902,-0.006793
47896,1993-03-18,-0.005952,0.006452
47896,1993-03-19,-0.014970,-0.004361
47896,1993-03-22,0.006079,-0.004087
47896,1993-03-23,-0.015106,-0.000550
47896,1993-03-24,-0.021472,-0.001474
47896,1993-03-25,0.003135,0.006459
47896,1993-03-26,0.015625,-0.003674
47896,1993-03-29,0.012308,0.004251
47896,1993-03-30,-0.009119,0.003776
47896,1993-03-31,-0.001104,0.001576
47896,1993-04-01,0.009288,-0.003257
47896,1993-04-02,-0.046012,-0.019036
47896,1993-04-05,0.025723,0.001157
47896,1993-04-06,-0.015674,-0.004066
47896,1993-04-07,0.025478,0.003148
47896,1993-04-08,0.000000,-0.002071
47896,1993-04-12,0.052795,0.012213
47896,1993-04-13,0.023599,0.003381
47896,1993-04-14,-0.014409,-0.000281
47896,1993-04-15,-0.035088,-0.001545
47896,1993-04-16,0.003030,0.000319
47896,1993-04-19,-0.018127,-0.003324
47896,1993-04-20,-0.009231,-0.004922
47896,1993-04-21,-0.012422,-0.001578
47896,1993-04-22,-0.015723,-0.006802
47896,1993-04-23,-0.031949,-0.005138
47896,1993-04-26,-0.026403,-0.009565
47896,1993-04-27,0.027119,0.008341
47896,1993-04-28,0.009901,0.001648
47896,1993-04-29,0.009804,0.002206
